Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6387,50;6383,50;2/9/2025 12:18:21;2/9/2025 12:35:29;Entry;Stop1;-$ 200,00;-$ 200,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 200,00;$ 175,00;$ 375,00;0;
2;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6445,00;6449,00;3/9/2025 16:46:10;3/9/2025 16:50:00;Entry;Stop1;-$ 200,00;-$ 400,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 200,00;$ 37,50;$ 237,50;0;
3;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6471,50;6471,00;4/9/2025 11:25:44;4/9/2025 11:26:14;Entry;Target1;$ 25,00;-$ 375,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 50,00;$ 50,00;$ 25,00;0;
4;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6521,75;6517,75;5/9/2025 11:03:00;5/9/2025 11:06:28;Entry;Stop1;-$ 200,00;-$ 575,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 212,50;$ 175,00;$ 375,00;0;
5;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6476,00;6475,25;5/9/2025 12:24:14;5/9/2025 12:24:48;Entry;Target1;$ 37,50;-$ 537,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 50,00;$ 50,00;$ 12,50;0;
6;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6502,00;6501,75;8/9/2025 15:30:30;8/9/2025 15:46:03;Entry;Stop1;$ 12,50;-$ 525,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 25,00;$ 262,50;$ 250,00;0;
7;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6507,00;6503,00;9/9/2025 11:23:35;9/9/2025 11:26:47;Entry;Stop1;-$ 200,00;-$ 725,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 200,00;$ 37,50;$ 237,50;0;
8;ES SEP25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6542,00;6540,25;10/9/2025 12:22:23;10/9/2025 12:32:59;Entry;Target1;-$ 87,50;-$ 812,50;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 100,00;$ 225,00;$ 312,50;0;
9;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Long;1;6670,00;6667,75;16/9/2025 16:28:18;16/9/2025 16:31:23;Entry;Stop1;-$ 112,50;-$ 925,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 112,50;$ 75,00;$ 187,50;0;
10;ES DEC25;PA-LL024095-010!NaturalTrading!NaturalTrading;4 - 6p - 1C;Short;1;6668,75;6672,75;17/9/2025 15:28:27;17/9/2025 15:28:44;Entry;Stop1;-$ 200,00;-$ 1125,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 200,00;$ 12,50;$ 212,50;0;
